WebSocket service initialized
BITOP Server running on port 3000 in development mode
Using in-memory MongoDB for development
MongoDB Connected: 127.0.0.1
Client connected: UmOit8E8dobuz5CZAAAB
Client disconnected: UmOit8E8dobuz5CZAAAB
Client connected: G0IKSjsnzUhiddijAAAD
Client disconnected: G0IKSjsnzUhiddijAAAD
Client connected: G27Iw94bVA0zFeGxAAAF
Client connected: kBER-Z7HRauPO5TwAAAH
Client connected: ONvS7CfivXW-tfuLAAAJ
Client disconnected: G27Iw94bVA0zFeGxAAAF
Client disconnected: kBER-Z7HRauPO5TwAAAH
Client disconnected: ONvS7CfivXW-tfuLAAAJ
MongoDB disconnected
MongoDB disconnected
Client connected: 0X8d7A_QfEbib53NAAAL
Client disconnected: 0X8d7A_QfEbib53NAAAL
Client connected: d6ZgfrwkVkPU9DuXAAAN
Client disconnected: d6ZgfrwkVkPU9DuXAAAN
Client connected: RPwS40sfcLGeJPDCAAAP
Client disconnected: RPwS40sfcLGeJPDCAAAP
Client connected: RzgJHKDQ5cJJ0qyyAAAR
Client connected: xbGXlJJCH7ZvkAIIAAAT
Client disconnected: RzgJHKDQ5cJJ0qyyAAAR
Client disconnected: xbGXlJJCH7ZvkAIIAAAT
Client connected: oNX4n8SJ-wZ8njAcAAAV
Client disconnected: oNX4n8SJ-wZ8njAcAAAV
Client connected: WwcsI3UC46fgP6i7AAAX
Client connected: 655QecoL9O3nwmt0AAAZ
Client disconnected: 655QecoL9O3nwmt0AAAZ
Client connected: NrDKk73DRVc_cvgOAAAb
Client disconnected: NrDKk73DRVc_cvgOAAAb
Client connected: HDa9xTiHwDc7R9CNAAAd
Client connected: Oe883EeM_o-Iy1eWAAAf
Client disconnected: Oe883EeM_o-Iy1eWAAAf
Client connected: hap8j9aJS-bsRrRSAAAh
Client disconnected: hap8j9aJS-bsRrRSAAAh
Client connected: XynGZ2VhdSJVNOBUAAAk
Client disconnected: XynGZ2VhdSJVNOBUAAAk
Client connected: Zuwe96A-tYkRzfQrAAAm
Client disconnected: Zuwe96A-tYkRzfQrAAAm
Client connected: RGaJsH5xbDPqe0OfAAAo
Client disconnected: RGaJsH5xbDPqe0OfAAAo
Client connected: _egj3myoZWqH0C9aAAAq
Client connected: C6EpzBce1Ki-BP42AAAs
Client disconnected: WwcsI3UC46fgP6i7AAAX
Client disconnected: HDa9xTiHwDc7R9CNAAAd
Client disconnected: _egj3myoZWqH0C9aAAAq
Client connected: stdTtY46XiJcSs0wAAAu
Client disconnected: stdTtY46XiJcSs0wAAAu
Client disconnected: C6EpzBce1Ki-BP42AAAs
Client connected: orRdczImHtvIhCCaAAAw
Client disconnected: orRdczImHtvIhCCaAAAw
Client connected: SOe0UzaQ4GjvSgxTAAAy
Client disconnected: SOe0UzaQ4GjvSgxTAAAy
Client connected: sP9jq24bT-N5Vde0AAA0
Client disconnected: sP9jq24bT-N5Vde0AAA0
Client connected: v-EdyazgiS5_v2tFAAA2
Client disconnected: v-EdyazgiS5_v2tFAAA2
Client connected: BAtzAHfB_TsriNKKAAA4
Client disconnected: BAtzAHfB_TsriNKKAAA4
Client connected: 9bv37OE-qKmtG76SAAA6
Client disconnected: 9bv37OE-qKmtG76SAAA6
Client connected: wixzW7Etd2ArI7oJAAA8
Client disconnected: wixzW7Etd2ArI7oJAAA8
Client connected: BBUklGermgxXePXVAAA-
Client disconnected: BBUklGermgxXePXVAAA-
Client connected: G7d86ZYSILej-wMtAABA
Client disconnected: G7d86ZYSILej-wMtAABA
Client connected: CBbUXghvVSmrTErgAABC
Client disconnected: CBbUXghvVSmrTErgAABC
Client connected: 9j4L-dSuG4MVgHPfAABE
Client disconnected: 9j4L-dSuG4MVgHPfAABE
Client connected: 8_ZWmbNQawkFsTYfAABG
Client disconnected: 8_ZWmbNQawkFsTYfAABG
Client connected: DCrYKE20k6jx-s1yAABI
Client disconnected: DCrYKE20k6jx-s1yAABI
Client connected: ifwHZWm8_4MrPVQHAABK
Client disconnected: ifwHZWm8_4MrPVQHAABK
Client connected: SSBNKVhSYAIkOQbvAABM
Client disconnected: SSBNKVhSYAIkOQbvAABM
Client connected: 7wlG4CvPXGgK_IzOAABO
Client connected: q5hrkCKLmvbYSdUqAABQ
Client disconnected: 7wlG4CvPXGgK_IzOAABO
Client disconnected: q5hrkCKLmvbYSdUqAABQ
Client connected: RgnNwdBYqA_b_U78AABS
Client disconnected: RgnNwdBYqA_b_U78AABS
Client connected: CIHEy3XlEiZxYbnDAABU
Client disconnected: CIHEy3XlEiZxYbnDAABU
Client connected: 7mfAnvhKJ8VvPGXVAABW
Client disconnected: 7mfAnvhKJ8VvPGXVAABW
Client connected: Oq6Gys9a3wO-8_ppAABY
Client disconnected: Oq6Gys9a3wO-8_ppAABY
Client connected: Yh9zE-jwofFHF6kWAABa
Client disconnected: Yh9zE-jwofFHF6kWAABa
Client connected: J9CQKIgigus36YQjAABc
Client disconnected: J9CQKIgigus36YQjAABc
Client connected: uYskKUbRDUJHr9tRAABe
